Packet_Count,Duration_sec,Num_Distinct_Dst_Ports,Mean_TTL,StdDev_TTL,Initial_TTL,Protocol_Diversity,Label,SYN_Ratio,ACK_Ratio,FIN_Ratio,RST_Ratio,PSH_Ratio,URG_Ratio,NULL_Ratio,SynAck_Ratio,UDP_Packet_Count,UDP_Payload_Avg,Protocol_1,Protocol_2,Protocol_6,Protocol_17
400,1.116191,201,55.81,9.527008974489318,50,1,1,0.0,0.4975,0.5025,0.4975,0.5025,0.5025,0.0,0.0,0.0,0.0,0,0,1,0
400,1.108619,201,56.065,9.122816177036563,42,1,1,0.0,0.4975,0.5025,0.4975,0.5025,0.5025,0.0,0.0,0.0,0.0,0,0,1,0
400,1.116795,201,56.05,9.2939496447958,37,1,1,0.0,0.4975,0.5025,0.4975,0.5025,0.5025,0.0,0.0,0.0,0.0,0,0,1,0
400,1.108754,201,55.91,9.213137359227854,38,1,1,0.0,0.4975,0.5025,0.4975,0.5025,0.5025,0.0,0.0,0.0,0.0,0,0,1,0
9,7.986480,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,74.0,0,0,0,1
3,5.219761,1,64.0,0.0,64,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0,0,0,1
2,5.219778,2,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,121.0,0,0,0,1
1,0.001,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,1,120.0,0.0,120,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0,0,0,1
1,0.001,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0,0,0,1
2,0.015170,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000088,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
3,0.029183,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000133,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
9,7.988229,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,74.0,0,0,0,1
5,4.605383,1,64.0,0.0,64,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
2,4.605682,2,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,121.0,0,0,0,1
3,1.540605,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,39.0,0,0,0,1
3,1.552215,3,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,61.0,0,0,0,1
1,0.001,0,1.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
14,0.194115,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,559.2142857142857,0,0,0,1
19,0.218508,1,57.0,0.0,57,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,381.7894736842105,0,0,0,1
1,0.001,0,1.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
2,0.194938,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.113038,1,52.0,0.0,52,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
9,7.987028,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,74.0,0,0,0,1
3,0.013000,1,247.0,0.0,247,1,1,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000529,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
3,5.119348,1,64.0,0.0,64,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0,0,0,1
2,5.119445,2,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,121.0,0,0,0,1
3,0.185536,1,55.0,0.0,55,1,1,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,0,1,0
3,0.110995,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0,0,0,1
1,0.001,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0,0,0,1
3,0.016624,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000164,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
9,7.987234,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,74.0,0,0,0,1
3,5.017994,1,64.0,0.0,64,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0,0,0,1
2,5.017926,2,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,121.0,0,0,0,1
2,0.000001,1,55.0,0.0,55,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,70.0,0,0,0,1
1,0.001,0,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
2,0.012588,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000128,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0,0,0,1
1,0.001,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0,0,0,1
2,0.013015,1,247.0,0.0,247,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000466,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.187175,1,55.0,0.0,55,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.111751,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
403,0.017182,400,159.73697270471465,95.49970598874752,255,1,1,0.4987593052109181,0.5037220843672456,0.0,0.49627791563275436,0.0,0.0,0.0,0.9901477832512315,0.0,0.0,0,0,1,0
9,4.096289,1,255.0,0.0,255,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,143.0,0,0,0,1
1,0.001,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
8,7.073381,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,74.0,0,0,0,1
1,0.001,1,120.0,0.0,120,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
4,3.792150,1,55.0,0.0,55,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,70.0,0,0,0,1
2,3.792203,0,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
2,0.179865,1,55.0,0.0,55,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.104205,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.011628,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000145,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
4,4.384837,1,64.0,0.0,64,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0,0,0,1
2,4.384880,2,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,121.0,0,0,0,1
3,0.014364,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000096,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.544405,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.5,0,0,0,1
2,0.543591,2,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.5,0,0,0,1
4,7.451056,2,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
4,7.439281,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.014057,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000121,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
8,6.981644,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,74.0,0,0,0,1
4,5.631607,1,64.0,0.0,64,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0,0,0,1
2,5.631697,2,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,121.0,0,0,0,1
1,0.001,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,1,52.0,0.0,52,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.544310,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.5,0,0,0,1
2,0.538485,2,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.5,0,0,0,1
1,0.001,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,0,0,0,1
1,0.001,1,60.0,0.0,60,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,0,0,0,1
2,0.189304,1,55.0,0.0,55,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.113843,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,1,52.0,0.0,52,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
8,7.065662,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,74.0,0,0,0,1
4,5.837204,1,64.0,0.0,64,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0,0,0,1
2,5.837176,2,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,121.0,0,0,0,1
2,0.546418,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.5,0,0,0,1
2,0.542344,2,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.5,0,0,0,1
2,0.263101,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.182988,1,52.0,0.0,52,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.104219,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000104,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.015136,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000138,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
3,0.012823,1,247.0,0.0,247,1,1,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000647,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
403,0.014186,400,159.73697270471465,95.49970598874752,255,1,1,0.4987593052109181,0.5037220843672456,0.0,0.49627791563275436,0.0,0.0,0.0,0.9901477832512315,0.0,0.0,0,0,1,0
403,0.015265,400,159.73697270471465,95.49970598874752,255,1,1,0.4987593052109181,0.5037220843672456,0.0,0.49627791563275436,0.0,0.0,0.0,0.9901477832512315,0.0,0.0,0,0,1,0
1,0.001,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,1,120.0,0.0,120,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
4,5.820934,1,64.0,0.0,64,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0,0,0,1
2,5.820838,2,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,121.0,0,0,0,1
4,6.554258,1,128.0,0.0,128,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,50.0,0,0,0,1
6,5.945589,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,74.0,0,0,0,1
5,6.041812,1,204.2,101.6,255,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,46.8,0,0,0,1
4,5.985068,1,255.0,0.0,255,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,176.0,0,0,0,1
1,0.001,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
10,5.576134,1,55.0,0.0,55,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
10,5.446562,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.046308,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000162,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
3,0.595944,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,32.666666666666664,0,0,0,1
3,0.675423,3,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,57.666666666666664,0,0,0,1
2,0.041167,1,247.0,0.0,247,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000670,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
403,0.014690,400,159.73697270471465,95.49970598874752,255,1,1,0.4987593052109181,0.5037220843672456,0.0,0.49627791563275436,0.0,0.0,0.0,0.9901477832512315,0.0,0.0,0,0,1,0
8,7.987880,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,74.0,0,0,0,1
2,0.014753,1,247.0,0.0,247,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000767,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,1,128.0,0.0,128,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.0,0,0,0,1
3,4.602779,1,64.0,0.0,64,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0,0,0,1
6,0.315475,1,55.0,0.0,55,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
6,0.315297,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,4.602674,2,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,121.0,0,0,0,1
2,0.230945,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.153107,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
3,0.132759,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.122461,1,50.0,0.0,50,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0,0,0,1
1,0.001,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0,0,0,1
1,0.001,1,255.0,0.0,255,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,160.0,0,0,0,1
3,0.002336,1,255.0,0.0,255,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,303.3333333333333,0,0,0,1
412,1.112574,200,55.87621359223301,9.208307626944086,53,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,43.758620689655174,0,0,0,1
9,8.089745,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,74.0,0,0,0,1
3,4.710810,1,64.0,0.0,64,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0,0,0,1
2,4.710758,2,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,121.0,0,0,0,1
2,0.012902,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000135,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,0,1.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
1,0.001,0,1.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
1,0.001,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0,0,0,1
1,0.001,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0,0,0,1
2,0.079839,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,1,120.0,0.0,120,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.014585,1,247.0,0.0,247,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000631,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
9,0.123040,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,432.1111111111111,0,0,0,1
12,0.094131,1,60.0,0.0,60,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,385.5833333333333,0,0,0,1
9,7.987322,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,74.0,0,0,0,1
6,5.285924,1,64.0,0.0,64,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
2,4.530519,2,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,121.0,0,0,0,1
5,1.648933,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,41.0,0,0,0,1
5,1.648890,5,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,96.8,0,0,0,1
9,0.151289,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,380.0,0,0,0,1
12,0.151681,1,57.0,0.0,57,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,383.3333333333333,0,0,0,1
1,0.001,1,128.0,0.0,128,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,304.0,0,0,0,1
2,0.115030,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.040203,1,55.0,0.0,55,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
13,0.128226,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,571.3076923076923,0,0,0,1
16,0.127389,1,60.0,0.0,60,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,557.125,0,0,0,1
2,0.011667,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000081,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.013969,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000151,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,1,52.0,0.0,52,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
412,1.117197,200,55.390776699029125,9.543472957774217,38,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,43.758620689655174,0,0,0,1
